"name","Population","Parent","Count","ParentCount","Percent_Parent"
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD8+/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD8+",47,3430,0.01
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD8+/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD8+",3380,3430,0.99
"00_Ctrl.fcs_INF179","/Scatter","root",10000,10000,1
"00_Ctrl.fcs_INF179","/Scatter/Singlets","/Scatter",9995,10000,1
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live","/Scatter/Singlets",9820,9995,0.98
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells","/Scatter/Singlets/Live",9599,9820,0.98
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4+","/Scatter/Singlets/Live/Tcells",7236,9599,0.75
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4+/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD4+",0,7236,0
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4+/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD4+",0,7236,0
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4+/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD4+",48,7236,0.01
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4+/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD4+",7188,7236,0.99
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4-CD8-","/Scatter/Singlets/Live/Tcells",320,9599,0.03
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD4-CD8-",0,320,0
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD4-CD8-",0,320,0
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD4-CD8-",1,320,0
